time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
4/6/2023 11:00,2011.333,2013.891,2010.505,2013.629,0,none,none,0,6.033,-1.802,1,6.033,-1.802,0,none,none
4/6/2023 12:00,2013.605,2016.026,2011.983,2015.701,0,none,none,0,4.725,-3.874,0,4.725,-3.874,0,none,none
4/6/2023 13:00,2015.708,2016.905,2011.827,2013.742,0,none,none,0,7.069,-1.058,1,7.069,-1.058,0,none,none
4/6/2023 14:00,2013.71,2018.115,2012.684,2016.384,0,none,none,0,4.561,-1.551,1,4.561,-1.551,0,none,none
4/6/2023 15:00,2016.379,2019.662,2014.833,2017.375,0,none,none,0,3.57,-6.149,0,3.57,-6.149,0,none,none
4/6/2023 16:00,2017.39,2020.426,2017.149,2019.602,0,none,none,0,1.343,-18.879,0,1.343,-18.879,1,none,none
4/6/2023 17:00,2019.59,2020.811,2017.584,2020.316,0,none,none,0,0.629,-19.593,0,0.629,-19.593,1,none,none
4/6/2023 18:00,2020.305,2020.945,2017.1,2018.511,0,none,none,0,2.245,-17.788,0,2.245,-17.788,1,none,none
4/6/2023 19:00,2018.475,2020.756,2011.226,2012.937,0,none,none,0,2.001,-12.214,0,2.001,-12.214,1,none,none
4/6/2023 20:00,2012.904,2014.205,2000.723,2003.57,0,none,none,0,11.368,-2.225,1,11.368,-2.225,0,none,none
4/6/2023 21:00,2003.637,2012.087,2001.345,2011.848,1,271875044,2011.963,0,3.09,-3.63,0,3.09,-3.63,0,FALSE,none
4/6/2023 22:00,2011.838,2013.013,2009.107,2011.211,0,none,none,0,3.727,-4.977,0,3.727,-4.977,0,none,none
4/6/2023 23:00,2011.175,2014.938,2010.752,2011.691,0,none,none,0,0.814,-19.345,0,0.814,-19.345,1,none,none
4/7/2023 0:00,2011.703,2012.505,2008.723,2009.984,0,none,none,0,1.565,-17.638,0,1.565,-17.638,1,none,none
4/7/2023 1:00,2009.961,2011.549,2008.218,2009.213,0,none,none,0,0.219,-16.867,0,0.219,-16.867,1,none,none
4/7/2023 2:00,2009.232,2009.432,2006.234,2006.455,0,none,none,0,-4.586,-14.109,0,-4.586,-14.109,1,none,none
4/11/2023 7:00,1992.393,1995.419,1992.346,1993.204,0,none,none,0,10.454,4.172,1,10.454,4.172,0,none,none
4/11/2023 11:00,1997.547,2000.045,1997.376,1999.771,0,none,none,0,7.676,-1.98,1,7.676,-1.98,0,none,none
4/11/2023 12:00,1999.774,2001.569,1998.712,1999.069,0,none,none,0,8.378,-1.278,1,8.378,-1.278,0,none,none
4/11/2023 13:00,1999.037,2001.869,1998.357,1999.23,0,none,none,0,8.217,-1.439,1,8.217,-1.439,0,none,none
4/11/2023 14:00,1999.196,2003.658,1997.791,2002.072,0,none,none,0,5.375,-2.69,1,5.375,-2.69,0,none,none
4/11/2023 15:00,2002.04,2007.447,2001.264,2004.591,0,none,none,0,0.833,-6.389,0,0.833,-6.389,1,none,none
4/11/2023 16:00,2004.56,2005.424,2002.523,2004.531,0,none,none,0,0.434,-9.068,0,0.434,-9.068,1,none,none
4/11/2023 17:00,2004.533,2004.965,2001.413,2004.414,0,none,none,0,0.27,-8.951,0,0.27,-8.951,1,none,none
4/11/2023 18:00,2004.383,2004.383,1999.382,2000.467,0,273715435,2000.456,1,5.766,-5.004,0,5.766,-5.004,0,none,FALSE
4/11/2023 19:00,2000.456,2002.564,1998.202,1998.569,0,273746044,1998.859,1,8.029,-3.106,0,8.029,-3.106,0,none,FALSE
4/11/2023 20:00,1998.601,2002.47,1995.463,2001.414,0,none,none,0,5.184,-1.684,1,5.184,-1.684,0,none,none
4/11/2023 21:00,2001.446,2004.684,1999.73,2002.475,0,none,none,0,4.123,-1.485,0,4.123,-1.485,0,none,none
4/11/2023 22:00,2002.48,2006.233,2001.617,2004.17,0,none,none,0,2.582,-3.18,0,2.582,-3.18,0,none,none
4/11/2023 23:00,2004.15,2006.598,2003.938,2006.219,0,none,none,0,0.533,-5.229,0,0.533,-5.229,1,none,none
4/12/2023 0:00,2006.199,2006.416,2000.99,2005.586,0,none,none,0,1.166,-2.717,0,1.166,-2.717,0,none,none
4/12/2023 1:00,2005.618,2005.879,2003.971,2004.513,0,none,none,0,2.239,-1.644,0,2.239,-1.644,0,none,none
4/12/2023 2:00,2004.488,2006.752,2003.465,2004.088,0,none,none,0,1.41,-1.219,0,1.41,-1.219,0,none,none
4/12/2023 3:00,2004.12,2004.639,2002.869,2003.567,0,none,none,0,11.36,-0.534,1,11.36,-0.534,0,none,none
4/12/2023 5:00,2003.258,2004.327,2003.033,2003.864,0,none,none,0,15.441,-0.409,1,15.441,-0.409,0,none,none
4/12/2023 6:00,2003.867,2005.058,2003.455,2004.696,0,none,none,0,14.609,-0.737,1,14.609,-0.737,0,none,none
4/12/2023 7:00,2004.713,2005.498,2003.999,2005.466,0,none,none,0,15.643,-1.507,1,15.643,-1.507,0,none,none
4/12/2023 8:00,2005.456,2014.927,2003.959,2014.607,1,274031800,2015.049,0,6.502,-0.776,1,6.502,-0.776,0,TRUE,none
4/12/2023 9:00,2014.613,2019.305,2013.831,2014.939,0,none,none,0,6.17,-1.401,1,6.17,-1.401,0,none,none
4/12/2023 10:00,2014.952,2018.296,2014.168,2017.251,0,none,none,0,3.858,-5.601,0,3.858,-5.601,0,none,none
4/12/2023 11:00,2017.288,2021.109,2017.106,2020.378,0,none,none,0,0.405,-11.394,0,0.405,-11.394,1,none,none
4/12/2023 12:00,2020.404,2020.783,2017.612,2018.261,0,274142513,2017.985,1,0.529,-9.659,0,0.529,-9.659,1,none,TRUE
4/12/2023 13:00,2018.227,2018.79,2013.538,2015.654,0,274191731,2015.687,1,0.935,-8.418,0,0.935,-8.418,1,none,TRUE
4/12/2023 14:00,2015.657,2016.589,2011.65,2012.991,0,274241070,2013.02,1,0.727,-5.755,0,0.727,-5.755,1,none,TRUE
4/12/2023 15:00,2013.02,2013.718,2008.984,2009.071,0,274288561,2009.002,1,19.093,-2.813,1,19.093,-2.813,0,none,FALSE
4/12/2023 16:00,2009.067,2011.565,2008.602,2010.87,0,none,none,0,17.294,-9.888,0,17.294,-9.888,0,none,none
4/12/2023 17:00,2010.838,2011.541,2007.236,2008.851,0,274339831,2008.849,1,19.313,-7.869,0,19.313,-7.869,0,none,FALSE
4/12/2023 18:00,2008.883,2010.281,2007.321,2007.735,0,none,none,0,20.429,-6.753,0,20.429,-6.753,0,none,none
4/12/2023 19:00,2007.701,2028.164,2006.258,2022.25,1,274448495,2022.66,0,1.584,-21.268,0,1.584,-21.268,1,FALSE,none
4/12/2023 20:00,2022.284,2023.834,2000.982,2007.801,0,274509678,2007.85,1,5.322,-4.696,0,5.322,-4.696,0,none,FALSE
